node_id,date,discharge_avg,year,week
67.53232_24.06049,2022-10-02,5702.0024,2022,39
67.53232_24.06049,2022-10-09,5587.183,2022,40
67.53232_24.06049,2022-10-16,4476.4463,2022,41
67.53232_24.06049,2022-10-23,4075.0535,2022,42
67.53232_24.06049,2022-10-30,3940.9988,2022,43
67.53232_24.06049,2022-11-06,3574.2075,2022,44
67.53232_24.06049,2022-11-13,3294.6316,2022,45
67.53232_24.06049,2022-11-20,3071.7644,2022,46
67.53232_24.06049,2022-11-27,2946.8538,2022,47
67.53232_24.06049,2022-12-04,2643.9666,2022,48
67.53232_24.06049,2022-12-11,2268.845,2022,49
67.53232_24.06049,2022-12-18,1982.1663,2022,50
67.53232_24.06049,2022-12-25,1801.846,2022,51
67.53232_24.06049,2023-01-01,1703.9442,2023,52
67.53232_24.06049,2023-01-08,1616.8225,2023,1
67.53232_24.06049,2023-01-15,1563.4978,2023,2
67.53232_24.06049,2023-01-22,1527.7188,2023,3
67.53232_24.06049,2023-01-29,1530.9017,2023,4
67.53232_24.06049,2023-02-05,1596.5803,2023,5
67.53232_24.06049,2023-02-12,1579.4799,2023,6
67.53232_24.06049,2023-02-19,1550.4219,2023,7
67.53232_24.06049,2023-02-26,1426.6562,2023,8
67.53232_24.06049,2023-03-05,1484.3125,2023,9
67.53232_24.06049,2023-03-12,1448.5134,2023,10
67.53232_24.06049,2023-03-19,1528.0134,2023,11
67.53232_24.06049,2023-03-26,1497.8839,2023,12
67.53232_24.06049,2023-04-02,1715.6428,2023,13
67.53232_24.06049,2023-04-09,2128.942,2023,14
67.53232_24.06049,2023-04-16,2275.299,2023,15
67.53232_24.06049,2023-04-23,2307.509,2023,16
67.53232_24.06049,2023-04-30,2021.3572,2023,17
67.53232_24.06049,2023-05-07,2664.8928,2023,18
67.53232_24.06049,2023-05-14,2878.0715,2023,19
67.53232_24.06049,2023-05-21,2850.3572,2023,20
67.53232_24.06049,2023-05-28,2546.3125,2023,21
67.53232_24.06049,2023-06-04,1411.6295,2023,22
67.53232_24.06049,2023-06-11,465.8884,2023,23
67.53232_24.06049,2023-06-18,489.97992,2023,24
67.53232_24.06049,2023-06-25,989.375,2023,25
67.53232_24.06049,2023-07-02,1573.4866,2023,26
67.53232_24.06049,2023-07-09,7998.672,2023,27
67.53232_24.06049,2023-07-16,13355.453,2023,28
67.53232_24.06049,2023-07-23,12345.268,2023,29
67.53232_24.06049,2023-07-30,14826.446,2023,30
67.53232_24.06049,2023-08-06,15882.368,2023,31
67.53232_24.06049,2023-08-13,12920.157,2023,32
67.53232_24.06049,2023-08-20,11687.783,2023,33
67.53232_24.06049,2023-08-27,10202.101,2023,34
67.53232_24.06049,2023-09-03,8151.386,2023,35
67.53232_24.06049,2023-09-10,7086.9453,2023,36
67.53232_24.06049,2023-09-17,5701.4443,2023,37
67.53232_24.06049,2023-09-24,4807.288,2023,38
67.53232_24.06049,2023-10-01,4442.2354,2023,39
67.53232_24.06049,2023-10-08,4059.7495,2023,40
67.53232_24.06049,2023-10-15,3419.059,2023,41
67.53232_24.06049,2023-10-22,3067.74,2023,42
67.53232_24.06049,2023-10-29,3490.0469,2023,43
67.53232_24.06049,2023-11-05,3476.1646,2023,44
67.53232_24.06049,2023-11-12,3084.0034,2023,45
67.53232_24.06049,2023-11-19,2783.5256,2023,46
67.53232_24.06049,2023-11-26,2524.0269,2023,47
67.53232_24.06049,2023-12-03,2202.8098,2023,48
67.53232_24.06049,2023-12-10,1913.8314,2023,49
67.53232_24.06049,2023-12-17,1784.365,2023,50
67.53232_24.06049,2023-12-24,1671.3236,2023,51
67.53232_24.06049,2023-12-31,1575.7377,2023,52
67.53232_24.06049,2024-01-07,1537.875,2024,1
67.65088_23.93122,2019-01-06,1588.3063,2019,1
67.65088_23.93122,2019-01-13,1471.567,2019,2
67.65088_23.93122,2019-01-20,1393.817,2019,3
67.65088_23.93122,2019-01-27,1396.0491,2019,4
67.65088_23.93122,2019-02-03,1481.5267,2019,5
67.65088_23.93122,2019-02-10,1813.4286,2019,6
67.65088_23.93122,2019-02-17,1818.7545,2019,7
67.65088_23.93122,2019-02-24,2052.6519,2019,8
67.65088_23.93122,2019-03-03,2249.9866,2019,9
67.65088_23.93122,2019-03-10,3169.5178,2019,10
67.65088_23.93122,2019-03-17,2982.567,2019,11
67.65088_23.93122,2019-03-24,2694.7144,2019,12
67.65088_23.93122,2019-03-31,2531.6428,2019,13
67.65088_23.93122,2019-04-07,2375.2769,2019,14
67.65088_23.93122,2019-04-14,2056.0715,2019,15
67.65088_23.93122,2019-04-21,2217.683,2019,16
67.65088_23.93122,2019-04-28,3041.1116,2019,17
67.65088_23.93122,2019-05-05,4090.3481,2019,18
67.65088_23.93122,2019-05-12,4151.317,2019,19
67.65088_23.93122,2019-05-19,4038.2722,2019,20
67.65088_23.93122,2019-05-26,3698.2053,2019,21
67.65088_23.93122,2019-06-02,2740.174,2019,22
67.65088_23.93122,2019-06-09,1109.808,2019,23
67.65088_23.93122,2019-06-16,755.9196,2019,24
67.65088_23.93122,2019-06-23,1030.5848,2019,25
67.65088_23.93122,2019-06-30,2015.5223,2019,26
67.65088_23.93122,2019-07-07,2435.8616,2019,27
67.65088_23.93122,2019-07-14,2935.576,2019,28
67.65088_23.93122,2019-07-21,10364.024,2019,29
67.65088_23.93122,2019-07-28,13019.167,2019,30
67.65088_23.93122,2019-08-04,13284.505,2019,31
67.65088_23.93122,2019-08-11,14412.556,2019,32
67.65088_23.93122,2019-08-18,12968.016,2019,33
67.65088_23.93122,2019-08-25,12158.969,2019,34
67.65088_23.93122,2019-09-01,11346.939,2019,35
67.65088_23.93122,2019-09-08,8793.712,2019,36
67.65088_23.93122,2019-09-15,7542.5234,2019,37
67.65088_23.93122,2019-09-22,6121.354,2019,38
67.65088_23.93122,2019-09-29,5015.0054,2019,39
67.65088_23.93122,2019-10-06,4269.7163,2019,40
67.65088_23.93122,2019-10-13,4082.3225,2019,41
67.65088_23.93122,2019-10-20,3687.0156,2019,42
67.65088_23.93122,2019-10-27,3500.566,2019,43
67.65088_23.93122,2019-11-03,3319.2925,2019,44
67.65088_23.93122,2019-11-10,3101.2188,2019,45
67.65088_23.93122,2019-11-17,2995.5234,2019,46
67.65088_23.93122,2019-11-24,3079.2644,2019,47
67.65088_23.93122,2019-12-01,2720.2903,2019,48
67.65088_23.93122,2019-12-08,2598.9219,2019,49
67.65088_23.93122,2019-12-15,2525.4978,2019,50
67.65088_23.93122,2019-12-22,2196.7612,2019,51
67.65088_23.93122,2019-12-29,2277.2478,2019,52
67.65088_23.93122,2020-01-05,2121.3503,2020,1
67.65088_23.93122,2020-01-12,1862.0803,2020,2
67.65088_23.93122,2020-01-19,1745.8795,2020,3
67.65088_23.93122,2020-01-26,1993.1897,2020,4
67.65088_23.93122,2020-02-02,2227.7478,2020,5
67.65088_23.93122,2020-02-09,1994.6361,2020,6
67.65088_23.93122,2020-02-16,2007.7233,2020,7
67.65088_23.93122,2020-02-23,1795.1094,2020,8
67.65088_23.93122,2020-03-01,1535.8973,2020,9
67.65088_23.93122,2020-03-08,1681.8683,2020,10
67.65088_23.93122,2020-03-15,1885.5983,2020,11
67.65088_23.93122,2020-03-22,3055.5222,2020,12
67.65088_23.93122,2020-03-29,3187.1072,2020,13
67.65088_23.93122,2020-04-05,2735.4597,2020,14
67.65088_23.93122,2020-04-12,3540.0625,2020,15
67.65088_23.93122,2020-04-19,3417.6472,2020,16
67.65088_23.93122,2020-04-26,2922.5403,2020,17
67.65088_23.93122,2020-05-03,3359.174,2020,18
67.65088_23.93122,2020-05-10,3408.9285,2020,19
67.65088_23.93122,2020-05-17,3474.2947,2020,20
67.65088_23.93122,2020-05-24,3741.866,2020,21
67.65088_23.93122,2020-05-31,3349.0847,2020,22
67.65088_23.93122,2020-06-07,1623.2322,2020,23
67.65088_23.93122,2020-06-14,1401.3928,2020,24
67.65088_23.93122,2020-06-21,2130.8394,2020,25
67.65088_23.93122,2020-06-28,2867.895,2020,26
67.65088_23.93122,2020-07-05,5570.8525,2020,27
67.65088_23.93122,2020-07-12,9193.319,2020,28
67.65088_23.93122,2020-07-19,10126.276,2020,29
67.65088_23.93122,2020-07-26,9777.101,2020,30
67.65088_23.93122,2020-08-02,10056.851,2020,31
67.65088_23.93122,2020-08-09,9411.724,2020,32
67.65088_23.93122,2020-08-16,8837.529,2020,33
67.65088_23.93122,2020-08-23,9110.802,2020,34
67.65088_23.93122,2020-08-30,12711.438,2020,35
