edge_id,from_node_id,to_node_id,river_name,length_km,wkt,edge_type
725,76.73755_31.39263,76.53143_31.04223,Spatial_Link,43.614358453519074,"LINESTRING (76.73754701723637 31.392625093717086, 76.53143308579386 31.04223089007944)",1
726,76.53143_31.04223,76.73755_31.39263,Spatial_Link,43.614358453519074,"LINESTRING (76.53143308579386 31.04223089007944, 76.73754701723637 31.392625093717086)",1
727,76.60405_31.29500,76.47286_31.21652,Spatial_Link,15.220164752671554,"LINESTRING (76.6040489074172 31.29499736382648, 76.47286172864949 31.216519420894603)",1
728,76.47286_31.21652,76.60405_31.29500,Spatial_Link,15.220164752671554,"LINESTRING (76.47286172864949 31.216519420894603, 76.6040489074172 31.29499736382648)",1
729,76.60405_31.29500,76.53143_31.04223,Spatial_Link,28.94305007353068,"LINESTRING (76.6040489074172 31.29499736382648, 76.53143308579386 31.04223089007944)",1
730,76.53143_31.04223,76.60405_31.29500,Spatial_Link,28.94305007353068,"LINESTRING (76.53143308579386 31.04223089007944, 76.6040489074172 31.29499736382648)",1
731,76.60405_31.29500,76.33665_31.00467,Spatial_Link,41.105519145362486,"LINESTRING (76.6040489074172 31.29499736382648, 76.33665061828529 31.004674894592323)",1
732,76.33665_31.00467,76.60405_31.29500,Spatial_Link,41.105519145362486,"LINESTRING (76.33665061828529 31.004674894592323, 76.6040489074172 31.29499736382648)",1
733,76.39958_31.42664,76.53143_31.04223,Spatial_Link,44.544831066598654,"LINESTRING (76.39957850036187 31.426640301154865, 76.53143308579386 31.04223089007944)",1
734,76.53143_31.04223,76.39958_31.42664,Spatial_Link,44.544831066598654,"LINESTRING (76.53143308579386 31.04223089007944, 76.39957850036187 31.426640301154865)",1
735,76.39958_31.42664,76.33665_31.00467,Spatial_Link,47.30048210282269,"LINESTRING (76.39957850036187 31.426640301154865, 76.33665061828529 31.004674894592323)",1
736,76.33665_31.00467,76.39958_31.42664,Spatial_Link,47.30048210282269,"LINESTRING (76.33665061828529 31.004674894592323, 76.39957850036187 31.426640301154865)",1
737,76.47286_31.21652,76.33665_31.00467,Spatial_Link,26.88947875388892,"LINESTRING (76.47286172864949 31.216519420894603, 76.33665061828529 31.004674894592323)",1
738,76.33665_31.00467,76.47286_31.21652,Spatial_Link,26.88947875388892,"LINESTRING (76.33665061828529 31.004674894592323, 76.47286172864949 31.216519420894603)",1
739,76.47286_31.21652,76.08556_30.99147,Spatial_Link,44.56391306514298,"LINESTRING (76.47286172864949 31.216519420894603, 76.08555591935209 30.99147423137552)",1
740,76.08556_30.99147,76.47286_31.21652,Spatial_Link,44.56391306514298,"LINESTRING (76.08555591935209 30.99147423137552, 76.47286172864949 31.216519420894603)",1
741,76.53143_31.04223,76.08556_30.99147,Spatial_Link,42.86338630951674,"LINESTRING (76.53143308579386 31.04223089007944, 76.08555591935209 30.99147423137552)",1
742,76.08556_30.99147,76.53143_31.04223,Spatial_Link,42.86338630951674,"LINESTRING (76.08555591935209 30.99147423137552, 76.53143308579386 31.04223089007944)",1
743,76.33665_31.00467,75.82901_30.99727,Spatial_Link,48.391312450692304,"LINESTRING (76.33665061828529 31.004674894592323, 75.82900724678572 30.99726776075876)",1
744,75.82901_30.99727,76.33665_31.00467,Spatial_Link,48.391312450692304,"LINESTRING (75.82900724678572 30.99726776075876, 76.33665061828529 31.004674894592323)",1
745,76.08556_30.99147,75.56886_30.97651,Spatial_Link,49.28411285708834,"LINESTRING (76.08555591935209 30.99147423137552, 75.56885848598101 30.97651243914486)",1
746,75.56886_30.97651,76.08556_30.99147,Spatial_Link,49.28411285708834,"LINESTRING (75.56885848598101 30.97651243914486, 76.08555591935209 30.99147423137552)",1
747,75.82901_30.99727,75.31350_31.02087,Spatial_Link,49.19926453735673,"LINESTRING (75.82900724678572 30.99726776075876, 75.31350452754108 31.020870290675692)",1
748,75.31350_31.02087,75.82901_30.99727,Spatial_Link,49.19926453735673,"LINESTRING (75.31350452754108 31.020870290675692, 75.82900724678572 30.99726776075876)",1
749,75.56886_30.97651,75.12526_31.12185,Spatial_Link,45.2435370759253,"LINESTRING (75.56885848598101 30.97651243914486, 75.12526062327017 31.12185435671553)",1
750,75.12526_31.12185,75.56886_30.97651,Spatial_Link,45.2435370759253,"LINESTRING (75.12526062327017 31.12185435671553, 75.56885848598101 30.97651243914486)",1
751,75.31350_31.02087,74.88167_31.16266,Spatial_Link,44.03864387078505,"LINESTRING (75.31350452754108 31.020870290675692, 74.88166902810661 31.16265946534334)",1
